occ,n
mask.stall.,2
roriaggn.entr,2
brodpack,2
lithografen,2
bagerarb,2
f skolvaktm,2
barntradg.led,2
skorstenslejaren,2
sringp,2
yrkeslarare,2
f. verkmastare,2
f.folkskollarare,2
telegrafkommissarien,2
hushaller,2
maskinisten 3 gr.,2
telegrafexpeditoren,2
telegrafexp.,2
kӧrkarl,2
hotellstӓd,2
utkor.bitr,2
f smask. lar,2
handfãesk,2
jvgs.arb,2
bygg.,2
mjolkkusken,2
bandagearbetare,2
reseffektarbetare,2
fan junkare,2
spr.pojke,2
skom-a.,2
byggnadssnickaranka,2
magas.arb.,2
glasmastarelarling,2
kordr.,2
charkuter,2
gastgifverskan,2
kafebitr,2
f. v: arb.,2
urmak.elev,2
vagnstad:a,2
angb.bef.,2
underoff. 2 gr.,2
snick.ӓg,2
butiksforestandare,2
gjutgodsputs.,2
jarnbararen,2
stankarl,2
mur. arb.,2
f mӧb.snick,2
krisseuson,2
dir f,2
hissbitrade,2
apoteksarbetare,2
rorhantlangare,2
beridare,2
haradsskriv.,2
f lokrep,2
sjabr.bitr,2
hotellvaktm.,2
pensionatsidk,2
ass.skot.,2
extra postexp.,2
korrekturlas,2
tidskriverska,2
bitrãde,2
undtmn.,2
snickare och huseg.,2
f.d. malarmastare,2
hem.ag.fd,2
fabriksformannen,2
f. lokforare,2
kommissionslandtm.,2
gummifabr.arb.,2
hjagleldt,2
laudg.skot,2
fangkneckten,2
tamburvaktmastaren,2
filare fd,2
bruksforvaltare,2
f.lararinnan,2
"kexarb., h.h.",2
tullforvaltare,2
relaprov,2
f arb.form,2
angfartygsbefalhavare,2
fd. kusk,2
lerab,2
chauttãr,2
tambursbitrade,2
skolk.lar,2
hand.forfest,2
damfrisӧrska,2
rep. arb.,2
materialvakt,2
exp.vakt.,2
met.press,2
fd. sommerskan,2
f.d. rektor,2
byggnasdarbetaranka,2
haradsdomaren,2
fresserska,2
valsvarb,2
bankkamreren,2
verkstadsform.,2
lager.,2
bogserskeppare,2
tvatteriarb,2
sniok,2
tulltillsyn.m,2
vagnlyftare,2
mjolkarrendator,2
thaglarb,2
ellastman,2
skomattare,2
springb,2
f.kaféidk.,2
1/2 mastare,2
operat.skot,2
landskapsmalare,2
instr.mak,2
barb.,2
presskot,2
mkaniker,2
grovarbetar,2
fastighetsmakl,2
linnesomm.,2
bygn.arb,2
hormont,2
Äg. byggn. sn.,2
"grovarbet,",2
jbr.instr,2
komm.arbetare,2
skradderilarare,2
fornickl.,2
rvgrm,2
Överstelojtnant,2
metodistpastor,2
biskop,2
tulltjanstman,2
sattarinnan,2
handleande,2
handl.ag,2
frakt,2
skogsar.,2
byggen.,2
f. hem.ag,2
tjanarin,2
inkӧpschef,2
fostiljon,2
gjutarbetare,2
fabriksuppsyningsman,2
ladu.,2
melahuarb.,2
mâl,2
skofabr,2
jemt.,2
utskankningsforestandarinna,2
banktjanstamannen,2
tapetser.larl.,2
gransv.,2
laerbitr,2
verktygsarbet.,2
skofabriksarb,2
varfspoliskontapel,2
vickelmakerska,2
fabriksskrivare,2
tapetserarlarling,2
kommission,2
arend.,2
anekfru,2
smedsmastaren,2
stat.forest.,2
landsarkiv,2
modeteckn,2
tegelslagaren,2
kyrkvaktaren,2
sjuksyst,2
forgyll,2
skom.ges.,2
maskinritaren,2
cigarrhandlerska,2
f. kyrkov.,2
blomsterdekoratris,2
slakteriutkorare,2
skongarb,2
(enkan),2
sadelm.larl,2
hos denne,2
bitradande postvaktmastare,2
smaskollararin.,2
lokomotiveldarn,2
handelsidkarenka,2
sparv. kond,2
Överlakare,2
stadsmataren,2
presten,2
travtran,2
f.bagare,2
fd kusk,2
trafikform,2
resanden,2
mattpȧlagg,2
skomakaregesall.,2
fanérarb,2
kuvertarb,2
radhusvaktmast.,2
mur.ag,2
tryckerifӧrest,2
sjukhusbitradet,2
Äg. kr.arb.,2
herf,2
metallslip.,2
etsbitr.,2
sagverskarb,2
gelbgjutaren,2
vavlar.,2
spegelfabrikor,2
praktlkant,2
larmolãt,2
maltfabriksarbetare,2
f. bat__.,2
f forvalt,2
skradd arb,2
f overpostiljon,2
speceriaff.bitr.,2
f kopparslag,2
underofficeren,2
g.,2
skeppareanka,2
bgggn. ang,2
ytongarb,2
kamer,2
bag.mӓst,2
somsmed,2
bergsprang.,2
f rektor,2
assessorn,2
billrep,2
fors8ljn.chef,2
guubggg,2
skodsraug,2
f.godsagare,2
torghandlaren,2
snick.fabr.,2
trasllp.arb,2
f fӧrm,2
jarnbruksdiv.arb,2
snickaregl.,2
srtad,2
rorrikt,2
tranaren,2
f. skepp.,2
malar,2
clg.arb,2
Ӧvermask.,2
borgmastaren,2
typografanka,2
slakteriarbetaren,2
sjokaptensankefru,2
red.sekr,2
fӓrgare,2
kvarnarbetaren,2
materialforv,2
bagarmast.,2
f.d.sjokapten,2
fangknekt,2
korvforsaljare,2
lantbr.bar,2
sot.mast,2
verkstadsarbeterska,2
mejerijungfru,2
hand-idk.,2
caféinneh,2
Överstinna,2
korresopondent,2
affarsbitrade utan anstallning,2
leg. lak,2
lansbokhall,2
gasverksforman,2
klyvsagare,2
f. bergsm.,2
kontorsvaktmastaren,2
fӧrsӓkringstjӓnsteman,2
skogv.bitr,2
stuv.arb fd,2
hsuforest,2
fd vagnsmorjare,2
muskikfanj,2
f brygg.arb,2
isoleringsmontor,2
guldsmedsarb.,2
fordrg.,2
vakmastareankan,2
studenten,2
skogsinspektor,2
stӓllare,2
sanglararinna,2
tapets.ges.,2
galv.arb,2
jernsvarfvare,2
cigarrhandlande,2
kvarnmӓst,2
missionsk_t_k.,2
franskild arkitekthustru,2
paket,2
undtgsm.,2
gordelmakaregesallen,2
grundlaggningsarbetare,2
pastiljon,2
stadsmaklaranka,2
bensinforsalj,2
runen arb,2
snick .arb,2
skomakargesall,2
hotellinnehav.,2
lokaltelefonisten,2
f inkasser,2
rorledningsmontoren,2
traddr. arb.,2
smask.lar f,2
verktygsfil.,2
splsbitr,2
tillsyn.lar,2
"platsl-mast,",2
musikkorpral,2
slӧjdlar,2
folkskoll.h.h.,2
snick. ges.,2
f.d. tjanarinna,2
klensmed.,2
nattvakt.,2
kb.,2
fortullare,2
spegelfabrikoren,2
snormak.arb,2
jbr.kons,2
skot.assistent,2
ex.bitr.,2
stuckatoren,2
f:arb.,2
grufarb,2
sem.lararinna,2
g arb,2
tapetserare arbetaren,2
hovslagerska,2
timmermast.,2
brukselev,2
bankt jm,2
skatteuppb.m,2
Överskot fd,2
smedsanka,2
st: skarl,2
hallmast,2
f. artillerist,2
trakt.kor,2
benslnstnsforest,2
e.o. lektor,2
skraddaranka,2
telegr.kontr,2
bnvkt.,2
borstfabr.arb.,2
byggn.fӧrm,2
mjonaren,2
tel.arbetare,2
avbyterska,2
Äg. fabrikor,2
vaverska fd,2
fd linnesommerska,2
sagfilare,2
hosskotare,2
stskrif.,2
stig,2
gjuterihantl,2
f slakt.mӓst,2
distr.vet,2
rodakorssyst,2
landsfiskalsass,2
bitr.landsfiskal,2
Änkerfru,2
buggmant,2
torp.son,2
skomakargesallen,2
tapets. iarl,2
f.fanjunkare,2
bradgardsarbet.,2
f. inspektor,2
kond.larl,2
hovfotogr,2
trgm.,2
metallarbetarlarling,2
barberaremastare,2
f bag,2
f.porslinsarb,2
bibl.bitr.,2
kanalarbetare,2
statm__.,2
fattiggardsforestandare,2
gardsrattare,2
mek.,2
rorhantl,2
kӧksa,2
hauagare,2
argmust,2
"skom,mast",2
f. kokerska,2
fd kammartjanare,2
bergsingenioren,2
klockaren och skollararen,2
stkrlsforman.,2
bruksforv,2
tvisterska,2
manufakturhandl.,2
text.fabr.arb.,2
poliskonstafeln,2
malaregesall.,2
f.hem.,2
assessoren,2
brevbarareasp.,2
bruksforvaltaren,2
"snick, larl",2
l:a kontorsbitrade,2
mask.sn,2
grundlagg.,2
rõrmaufõr,2
arbk;fabr.arb,2
journal.,2
kommunalordforanden,2
f.hand.bitr.,2
e.brevbar.,2
pensionatinnehavare,2
sjukvȧrdsbitrade,2
kontorist.,2
linjerarb,2
kaross.arb,2
tricotfabr.arb,2
shjare,2
fabriksbitradet,2
jur doktor,2
cigarrhandlerskan,2
ramsnickare,2
f.kassor,2
garwf,2
verkst.snick,2
pappersbr.arb.,2
verkt.svarv,2
gef,2
lolejorane,2
undtg.,2
fonsteruputsare,2
forradsvaktmastaren,2
tidskrivare,2
matarerep,2
magas.bokh.,2
inkopsass,2
kammarjunkaren,2
klockar,2
trӓhusarb,2
sjukvakten lkmf,2
stat.karlsforman,2
maskinskriverskan,2
hautboist,2
ing. s.,2
forre styrmannen,2
cj jagmast,2
brandfӧrm,2
montorelev,2
charkarb,2
drifsing,2
underlojtnat,2
koksforast,2
borgmast.,2
f. tullӧveruppsyningsman,2
chaufor,2
tvattarb,2
"stuv,arb",2
prasten,2
trӓdgardsmӓstare,2
distr.mont,2
kassakontr.,2
textilarhet.,2
fd akeriarbetare,2
ex.bitrade,2
lagermast.,2
gyrhild,2
praktiserande lakaren,2
e.tjansteman,2
stat.skr.,2
stationsarb,2
kafeidkerska,2
verkmâst,2
wallare,2
for_t.,2
forràdsm,2
byggn.intend,2
sotaren,2
fjerdm.,2
missionslarare,2
fd olutkorare,2
viktoria,2
brunnsgrav,2
lekt fil lic,2
flaggtorpedmastare,2
med.stud,2
kaféinneh.,2
grovbarb,2
svarfvaremast.,2
vaktforestandaren,2
brukspredikanten,2
vagnskotare,2
sysslom,2
e. stationsskrifv.,2
lagerarbetrska,2
larov. adj.,2
f lokeld,2
magasinsbokh.,2
mál.arb,2
ladugardsdrang,2
kakelmak.,2
"gardskarl, torg.handl.",2
tillskar:e,2
tapetseraremastare,2
garagarbetare,2
stenh.arb.,2
bokhandelsmedhj.,2
landshovdinge ankan,2
befalhafvaren,2
torparr,2
...arb,2
fbr,2
ringgat,2
repr.ant,2
reklamass,2
fotografbitr,2
mnt. arb,2
banm,2
hallarbetare,2
f.smaskoll:a,2
malarinnan,2
utskankningsforestandaren,2
telegrafexp,2
fd bageriarbeterska,2
kyparanka,2
hand. idk:a,2
brandsergeant,2
prograrb.lit,2
skolkokslarare,2
kap,2
machin.,2
jagm,2
c.v.arb.,2
knivarbetare,2
mesaberamare,2
elektroingenjor,2
koniorist,2
marm.arb,2
orgel,2
guldpolerare,2
Ӧvermont,2
vedhandlareanka,2
korlarirk,2
grafarbetare,2
fangelsedirektoren,2
flygl.mont,2
avdelnigschef,2
snickeriarbet,2
restaurangbitr,2
jondh.arb.,2
hjulsm.,2
larrov.adj,2
tullhuspackkarl,2
timmer.,2
vattenledn.arb.,2
hovrattsradet,2
extra stationskarlen,2
musikunderofficer,2
harfrisorskebitrade,2
tecknaren,2
erygg.arb,2
f.smaskoll,2
avd.forest.,2
forradsfom,2
civilingenjӧr,2
fiskhnadl,2
trasvarv.,2
stolf.arb,2
hag.dotter,2
f.poliskonst.,2
fiskh.arb,2
vagnsmorjaren,2
telefest,2
bokfӧrerska,2
koman,2
svagerska,2
trikaarb,2
mejeriforest.,2
hemmd,2
bararb.,2
filmfotogr,2
spraklararinna,2
f.vedhandlare,2
kakelugnsmakeri arbetaren,2
samfrisorska,2
hamnbokhall,2
spik.,2
landshofdingen m.m.,2
sjomansanka,2
teaterarbetare,2
flottn.insp,2
tnãdg. arb,2
livsm.arb.,2
gransrid.,2
lok. forare,2
f.fabr.arb.,2
f fiskhandl,2
e.o.skot,2
mallmãst,2
lahgerbitr,2
e.o. tullwaktmastaren,2
materialforvaltaren,2
jarnhand,2
malarearbetare,2
tygarbet,2
butikschef,2
e.o. telegrafisten,2
bergmastaren,2
tillf.arb.k,2
vardshusforestandare,2
ladfabr. arb,2
garvaregesall,2
tradgardsdrangen,2
banvaktsforman,2
rombitr,2
charkuteriarb,2
sery,2
servitris.,2
majoren grefve,2
telegrambar,2
mutarb.,2
tryck.larl.,2
maskinslip,2
snick. arb,2
smedgesall.,2
montererska,2
frasaren,2
barberareges.,2
Ångbatsform.,2
banktjanstoman,2
kook,2
h arb,2
f. lansman,2
valsaren,2
stadsbokh,2
f. banm.,2
extr.elev,2
lackererska,2
pappersraknaren,2
f.notarie,2
slussvakt.,2
l:e tullkont,2
stenl.,2
sagmast.,2
fd arbeterska,2
brodforsaljerskan,2
smask. lar,2
f. tradg.mast.,2
diploming,2
mattlaggare,2
f.snick.arb,2
maleri arb,2
dacksman,2
kuskanka,2
kodrang,2
flottv.arb.,2
hyvleriarb,2
kommunal.arb,2
minuthandlare,2
__.,2
nur,2
byggn.smick,2
arrendatorson,2
ingeniur,2
e.o.tullvaktmast.,2
st. krl.,2
mlalue,2
smorj.,2
f. korp.,2
lak leg,2
snormak.bitr,2
springgossen,2
e.o.lansnot.,2
lisp,2
hg,2
restaurangarb,2
tillfallighetsarbetare,2
rusth.,2
garveriarb.,2
skomaregl.,2
banvkt.,2
koherden,2
provinsiallakaren,2
hrãttb,2
skeppsredare,2
glansstrykerska,2
kritbr.arb.,2
bankkass.ag,2
f.d.kass.,2
od__ garfv,2
f bokb,2
tegelmast,2
underfogde,2
hammnarb,2
charkuterilarling,2
fjadersmed,2
silverspolerska,2
korgnak.,2
cigarrbutiksagare,2
el.larl,2
unge,2
fd expresskarl,2
fiskeriarbetarhustru,2
stat.forman,2
urmakaregesallen,2
f magas.arb,2
bryggeriidkare,2
kallaremast.,2
korsangaren,2
hotellag.,2
stadsomb.m,2
skinskradd,2
"kont,vaktm",2
emaljerare,2
expeditionsforestandaren,2
franskild handlarhustru,2
heubitr,2
l.,2
linnesommerskan,2
gatufogde,2
mobelbonare,2
murarmast,2
fd. lantbrukare,2
understaderska,2
bankdlr,2
marg.arb,2
f.ladug.karl,2
forsakr tjm,2
fd nattvakt,2
fd.kassor,2
revisorass,2
"hustru, fabriksarbeterska",2
nilg.nrmekane,2
bultsmed,2
kemlgr,2
f skofabr.arb,2
vapenhantverkare,2
latt,2
a**e,2
arreudator,2
forradsforestandare,2
rodfargsarb.,2
aff .forest,2
cement.arbet,2
Överkonst.,2
treetexarb,2
f.barnmorska,2
tapetfabr.arb.,2
frukhandl,2
forradsforest,2
rakenskapsforare,2
kopparb.,2
lagerbit,2
f. telefonist,2
_itr,2
driftsingenjor,2
vandmak,2
bryggaredrangen,2
rteluhg,2
m_,2
f stnskarlsform,2
el.wont,2
pafperarket,2
f.bankkassor,2
cigarrfabrikor,2
daghj,2
maskinskriv,2
garfvan,2
lantbr.dir,2
garfv. arb.,2
brodraknerska,2
cellur.f.arb,2
galvaniseringsarb,2
pressbyrabitrade,2
avmat,2
stadens grovarbetare,2
f.arrend.,2
maskinritare,2
fjard.m.,2
skomak f,2
masklmont,2
fӓnrik,2
kolugnsarb.,2
Övertryck,2
sjuskot,2
tletter.arb,2
walsmast,2
kvarnӓg,2
kyrkogardsarb.,2
snickare extra,2
mӓrkerska,2
aakefru,2
fd tapetserare,2
poliskomm:ie,2
trsofȧdom,2
fd lantbrukaren,2
tulloveruppsyn.m,2
mobelarb,2
kaffeutkorare,2
poststationsforestanderska,2
torvstroarb,2
kioskhandlaren,2
m_____,2
fd. ingenjor,2
flygplansmontor,2
vardshusidkare,2
flicka,2
kaffeforsaljerskan,2
sjuksk:a,2
lagerarbeterska,2
snickeriarbetareanka,2
birk,2
handelsbi.,2
elementarlararinna,2
fabr. snick.arb.,2
brarb.,2
f. arrendator,2
viktualiehandl.,2
hissmontoren,2
riksdagsm,2
brams.,2
skinnarb,2
Åkeriarbetare,2
smedsarb,2
frisӧrlӓrl,2
jarnarb fd,2
bilelektriker,2
platklipp,2
fiskaro,2
gustarsson,2
bokhallareanka,2
bokb.arn,2
strykbitr,2
margarinf.arb,2
nek,2
metalltryckaren,2
konserv.arb,2
traullsarb,2
waktm,2
firman,2
telegrafarb,2
jarnv.tjm,2
met.d.vav,2
lar. folkskol,2
fd maleriarbetare,2
med,2
fastigh.skӧt,2
odont.kand,2
husare,2
fd.kopman,2
stbhs,2
stycklagg.,2
forvaltar,2
farman,2
e.o. kammareskrifvaren,2
hovmӓstare,2
frisotmast.,2
chaiff,2
fabriksarb:a,2
krontorp.,2
nykterhetsvardshusidkerskan,2
hem.egare,2
mal.form,2
kakelugnsmakeriarbet.,2
kantorist,2
f. waktmastaren,2
hand.bitr.h.h.,2
damfr.elev,2
tapetseraranka,2
f.bruksarb.,2
korvhandl,2
tidningsfalserska,2
generallojtnantsanka,2
byggnadschef,2
manuf. handl.,2
fast.ag.,2
postfor.,2
roddarkarlen,2
mal.mst.,2
korsnarsemastare,2
capten,2
konditoribitr,2
hattmodist,2
kontoriet,2
glasmast. s.,2
danspedagog,2
telefonvakt,2
korgarb,2
bokbindarlarling,2
pramskepparen,2
mur f,2
kentorist,2
Äg. skradd.,2
fd skattefogde,2
statsradet,2
radioforsalj,2
garneriarbetare,2
haradsdom,2
f. namdem.,2
platslagerihantlangare,2
skomakarmast.,2
kond.larl.,2
gasv.mont,2
mejeriarb. 1.,2
hurlãrt,2
fd.verkmast.,2
servitaor,2
l:e byraingeniӧr,2
stuveriarbet.,2
hamtarb,2
gardf. handl,2
k...,2
nagas.arb,2
ex.skrivbitrade,2
f.drag.arb,2
lokforareanka,2
fd. forradsforvaltare,2
ingemor,2
sparbankskamrer,2
bruksbokh.,2
stationsbitradet,2
traversskotare,2
massuppassare,2
forsagare.,2
sjӧkapt.,2
pass,2
krmolats,2
blomsterhandl.,2
badm.,2
eldar.,2
spikfabriksarbetare,2
forsakr.m,2
f smabruk,2
skorstensfejargesall,2
lumps.,2
fd stationsinspektor,2
mottagare (gjutare),2
linjoarbetare,2
pgraesl. h,2
undm.,2
mal.fd,2
bokforsaljare,2
ljusfabr.arb,2
regtsadj.,2
atp.,2
fӧrsӓlj.,2
ladug. fogde,2
fd. verkstadsarb.,2
gardsagaranka,2
spinnerka,2
lvarneg,2
grindv.,2
soarb,2
teknisk studerande,2
lantbr.bitr.,2
tunnbindarforman,2
per,2
trav. handl.,2
ass.tj.man,2
sigmart,2
textllarb,2
bageriforestand.,2
mer,2
telegr.,2
fd.handelsidk.,2
husmodern,2
matarjusterare,2
spấrv.kondukt,2
skifferoljearb,2
glasskar,2
liss,2
vicekorpr.,2
u_lahu arb,2
extra slussbetjant,2
f.uppoordsman,2
avdeln.forest,2
trgmst.,2
pannplatskagare,2
pensionaren,2
forradskarlen,2
porslinsarbeterskan,2
skurare,2
f.d.handl,2
verhl.arb,2
jarnh. bitr.,2
sjuksk.,2
lokomotivfor,2
gummifabriksarbet,2
reseinspektoren,2
mal. mast.,2
hattmakargesall,2
"son, lagerbitrade",2
"skof ,arb",2
foler,2
hemmansag.dtr.,2
fa…,2
packhusarb,2
jordr.,2
fd bryggmastare,2
verkstadsag.,2
f tillskӓr,2
dovstumlarare,2
gjutar,2
overfurir,2
fd. fotograf,2
lmnd,2
f missionar,2
orgelarbet,2
modellsn.,2
tapetserararbetare,2
forradsbitradet,2
cheuffor,2
vinhandlareanka,2
murareges.,2
f. stationskarl,2
tackdikningforman,2
d.anna,2
skolskot,2
dishliuade,2
bef.man,2
jordegaren,2
mejeriforestandare,2
faber.arb,2
Õverkstpl,2
postvakten,2
lasarettslakaren,2
barmastare,2
f. kӧpman,2
lotslarling.,2
mȧleriarbetare,2
bleckslag.mast.,2
pensionerad folkskolelarare,2
f fastigh.ag,2
off.asp,2
byraingenior,2
civilingenjorsanka,2
guldsmedslarling,2
bramsare,2
bitrad.,2
lir,2
fotoelev,2
"mergareta, tgãn",2
butikfӧrest,2
f lararinna,2
metallarbeterska,2
skjutfaltsarb,2
operasangare,2
gjut.forman,2
malarelarl,2
byggn-snick.,2
f.volontar,2
f. smeden,2
mekeniker,2
underoffr. of2ngr.,2
e kontorsbitrade,2
landtsm.,2
bankarl,2
uppas.,2
verktygsuppsatt,2
fd. banarbetaren,2
olreing,2
kranmask.,2
forrădsarb,2
shid,2
bilinstrukt,2
f.d. telefonist,2
caféinneh.,2
skraddareg.,2
telefon arb,2
forsakr.ombud,2
portfoljmakaridkaren,2
fastighetsag.,2
flottlaggare,2
fiskhandlanden,2
tivoliarb,2
st.hg.,2
kyrkh.,2
kontoriast,2
fd. sommerska,2
hendl,2
ladufogd.,2
brunnborrare,2
redaktionssekret.,2
korghandl,2
forradsbokh.,2
fris.mastare,2
mӓl,2
sprutlackerare,2
f kaféidk,2
verrtmist,2
tulltjӓnsteman,2
stader.a,2
f.d.lantbruk,2
silverpoler,2
malare ges,2
abon,2
tomtarbetaren,2
vedgardarbetare,2
konfektyrhandl.,2
bonam,2
civiljagmast,2
sv.,2
banktjanstem.,2
mob.f.arb,2
pianoarbet,2
skosarb,2
fotogr.birt.,2
f kyrkog.arb,2
kontafa,2
snick.form.,2
mu. amiek,2
gasverksformannen,2
kappsom.,2
utearb,2
f. husar,2
parkettagg,2
blek,2
kopparstyckare,2
f.d.verkmast.,2
kond.,2
nattbitr.,2
parkarbetare,2
heud,2
fastighetsag,2
cigarrsorteraren,2
exp.chef,2
tegelslagar,2
jordarbetaren,2
f traarb,2
byggnarbetare,2
arb. s.,2
kӧrdrӓng,2
stӓd:a,2
skoljerska,2
wallaren,2
alahtarb,2
landtbruk,2
f. org.,2
vastsomm.,2
besikt.,2
tunnb,2
mjolkhandlareanka,2
renskriverska,2
gjutar.,2
nodist,2
mas.,2
byggnadselev,2
eternittackare,2
kakelugnsarbetare,2
kammarh.,2
stationsforstand,2
Ŏverfurlr,2
telegraf.,2
appreturarb.,2
statkarlsanka,2
"rolgern, arb",2
ag.byggn.snick,2
verkstasrbetare,2
modellfilare,2
mobelsanick,2
fabr.snick,2
din. arb,2
kontorsb.,2
linnebitrade,2
fabr . arb,2
kotthandl,2
tillsvningsman,2
traversforare,2
forradsformannen,2
slaktarebitr.,2
sockerbruksarbeterska,2
telef.rep.,2
fd skraddaremastaren,2
h. handelsidk.,2
fd kyparen,2
lakemed.arb,2
vérkatadsarbstare,2
smeddrang,2
mattarb,2
bleckemb.arb,2
1:ste stadslak.,2
vӓvare,2
forsakrinstjansteman,2
knotoristen,2
trafikinsp.,2
f.sagvarb,2
folksk.lar.,2
brevarare,2
barnhusbarn,2
skomakariarbetaren,2
fotogr.elev,2
hem.ag f,2
betj.,2
f snick.form,2
kemigraflarl,2
husfӧrestandarinna,2
handelslarling,2
handelschef,2
hand.res.agent,2
byggnadsarbet.,2
marmeladarbeterska,2
hem.ag. son,2
pianosnickaren,2
f.gjutare,2
polissyst,2
direktrisen,2
kipp.,2
hattfabrikor,2
resararb,2
bagargesall,2
ryktaren,2
affischor,2
jernh.,2
sakforare,2
elektromontoren,2
biografag.,2
golvagg,2
staw.,2
insp. konst.,2
masspojke,2
f.stat,2
livforsakr.insp,2
cnauffor,2
handb,2
underoffr. korp.,2
stiu_.,2
rektorn,2
ror,2
mossmakaren,2
stapell.,2
fabr .arb.,2
garfare,2
bageriidkaren,2
frue,2
mur.hantl.,2
elektc,2
fd malare,2
arbetsstudieman,2
rest,2
byggn.ch,2
f hemag,2
polissyster,2
litogr.,2
elaktr,2
reparat,2
erik. arb.,2
leg.sjukgymn,2
fd. snickaren,2
stromfors,2
folskak.lar,2
borstbindaranka,2
virkesmast,2
jehahlinigarb.,2
mantalskommissarie,2
koksch,2
timmerhandl.,2
sarv,2
fabr.fŏrm,2
f.d. bruksegaren,2
slusservisen,2
blomsterhandl,2
tjjanstem,2
fabrikschefen,2
guldllstarb,2
landtmat.,2
fӧrv,2
rakknivsarbetare,2
daghj.,2
stationskarlsasp.,2
vedg. arb.,2
tegelbr arb,2
tolk,2
eric andersfons far,2
handelsrepresentant,2
fd fabrikoren,2
f.husforestandarinna,2
textilform,2
bes.man,2
skradderitillskarare,2
personalkons,2
bruksegare enkan,2
masterlots.,2
fd agronom,2
uppkoparen,2
starionskarl,2
kryddhandlaranka,2
aibtan,2
kvarnbygg.,2
hemmansag,2
postass.,2
f tvatterska,2
limmerbemsarb.,2
malmarb.,2
"dotter, tjanarinna",2
kyrkog.forest,2
f. vaktkonstapel,2
stenarb .,2
murges.,2
hardarb.,2
batskepparen,2
sagv.ӓg,2
fd handelsbitrade,2
f jarnarb,2
f. torp.,2
verkst.ag.,2
skjortsommer,2
aff.idk:a,2
tryck. arb,2
botvid,2
malmast.,2
platklippare,2
jagarletare,2
tunnb. ges.,2
fd. abo,1
batderimontor,1
c larssons svagerska,1
son aud,1
verktygstlambn f,1
timmerbark,1
kraftsnsforest,1
interurbantel.,1
vagnfabrikor,1
frih,1
rela,1
margarrinarb,1
gg.arb,1
maurare,1
f kakeiugnsmak,1
kommunlarbetare,1
Äg. gjutarb.,1
virkemast,1
Åg.handl,1
kartriterskan,1
fiskerinnan,1
krockare?,1
brukv.,1
fototekniker,1
bilinstr.,1
montorlarl.,1
madehandl,1
f.kond. innehav,1
sorvi tris,1
jamabuksag.,1
livforsakr.agent,1
"sybitr., h.h.",1
f lykttand,1
hortapfs,1
hãg.anusll,1
bitr.s,1
tryckarelarl.,1
werkstadsarbet.,1
f.d. materialforv.,1
volontar nr 33,1
lok.eldarlarling,1
ornaments bildhuggaren,1
fo_rtgren enk,1
frisorlarlingen,1
statskarlsform.,1
serviteris,1
bitr.rekt,1
lagerarbtare,1
rudare,1
nagn. Ō atallkarb,1
f.flaggmeskinist,1
gummi.arbet,1
mandelsidkerska,1
fot,1
frolecu,1
sekrenterare,1
boskapshandl,1
affarebitrade,1
lansskogsvakt,1
byggnadsbetare,1
romarb,1
hemma.,1
forde l olssons enka,1
krudl__den,1
blomsteraffar,1
f bang.arb,1
f.handelsresande,1
gulddragare,1
bilres,1
offset tryckare,1
fosaljn.chef,1
telef.h.h.,1
waktbetj.,1
waskm,1
mask.elev,1
handestradg.m,1
v. korpral n:o 9,1
f.byggnadsarbetare,1
v. korpral n:o 4,1
bagane,1
gummi.arb,1
biomsterdek,1
frlor,1
pastor em,1
karkrit,1
navigationsskolelararen,1
f. lar.,1
f. haradsskriv.,1
"koksa, h.h",1
verkstadsaebetare,1
ga__meden,1
luftledn. arbetare,1
klensm,1
lag. lak,1
f dratseldir,1
svearare,1
tulluppbordsman,1
malren,1
f telegr.komm.ie,1
komt,1
"bet, husfaeet",1
svesare,1
"mjoln,",1
kontdukt,1
cementlagg.,1
paperbr.arb,1
jor. drg.,1
byggm.arb.,1
rӧntgenbitrade,1
konfektyr arbet:a,1
byggn.snick f,1
badh.frst.,1
riksb.kamrer f,1
kons.arb,1
jarnhyvlare.ag.,1
aff.btr.,1
apotakare,1
fva,1
rӧrledn.isolatӧr,1
h_g,1
skomale,1
kvarnbygg.mast.,1
f. skrivbitrade,1
laskedr.arb,1
ladug.karl fd,1
skof.form,1
e skrifbitr.,1
rl.sreb,1
ellsdr,1
sommerksa,1
skulprits,1
reklamteckmare,1
spedarbetare,1
f.hem. Äg,1
eldsare,1
hemmadtr,1
fil. lic.,1
vinhandelsdrangen,1
scenarbetaro,1
bankhallare,1
tunnbindaregl.,1
Ăgare,1
skrivvbitradet,1
f flaggmaskinist,1
gjaf.arb,1
stationsfun.,1
exp.forest.ag,1
liujearb,1
mantri,1
i;e kammarskriv,1
fabrikant,1
f butiksforest,1
tradgȧrdsmastare,1
teknologie student,1
hembiitr,1
kaféinh.,1
hus_,1
karamellfabrikor,1
el.mmont,1
remlagare,1
kamrerassist.,1
Åb fufve,1
lriep,1
roparb,1
handl. per jonssons enka,1
moj_n,1
sockerf.arb fd,1
flatalagare,1
_eg.,1
husman hans e__ roséus son,1
brandl…,1
kontr. prosten,1
gasv.ing,1
ropparslag,1
korreapondent,1
handl.bitrade,1
ammunitionsv,1
"sjukv,bitr fd",1
Österlund gote,1
lak.bitr.,1
f hem.arb,1
a___,1
hemm:ag,1
flaktf.arbet.,1
gardrattaren,1
distr.tandlak,1
tmt. dotter,1
