occ,n
butiksbitrade,70
arrend,70
agare,70
maskinarb.,70
fabriksarb,70
hemeg.,70
poliskonstapeln,70
folkskollar.,69
cigarrarb.,69
snickeriarbetare,69
bagaren,69
urmakare,69
apotekare,69
hemb.,69
kanslibitr,69
bruksarbetare,69
arkitekt,68
slakt.arb,68
kondit,68
handelsres.,68
mal.,68
postiljon,68
chaufforen,68
hemdotter,67
hem.dtr.,67
redaktor,67
hyttarb.,67
korkarl,67
montӧr,67
pastor,67
stationsk.,66
mask.,66
uppasserska,66
gjuteriarb.,66
fr.,66
expedit,66
slagtaren,65
grosshandl.,65
bilmontor,65
vaktmastaren,65
sjomannen,65
byggmast.,65
slagt.,65
lokeld,64
sjukv.bitr.,64
chark.bitr,64
chark.arb,64
verkmӓst,63
tradgardsarbetare,63
akeriarbetare,63
staderskan,63
kusken,63
hemmason,62
smabr.ag,62
rit,62
varvsarb,62
skeppare,62
brevb,62
snick.arb.,62
rorarb.,61
byggnadssnickare,61
timmermannen,60
traarb,60
sagare,60
jarnsvarvare,60
baderska,60
jordarb.,60
pig.,60
mobelsnickare,60
kӧpman,59
bokbindare,59
faktor,59
eldaren,59
handelsidkare,59
bradg.arb,59
poliskonst.,59
sjukskot.,58
Änka,58
div.arb.,58
stadsbud,58
fanjunkare,58
akaren,57
butiksforest,57
-,57
drg.,57
fastigh.ag,57
stalldrang,57
gjuteriarbetare,57
kypare,56
skogvakt,56
rorlaggare,56
stad.,56
cykelrep,56
kordrang,56
presserska,56
stenhugg.,56
barnmorska,56
cementarb.,55
tandsticksarbetare,55
guldsmed,55
kontorschef,55
bradg.arb.,55
tradgardsmast.,55
gjut.arb.,55
stenhugg,55
garv.arb,55
gruvarb,54
tidn.bud,54
papp.br.arb,54
f lantbr,54
fisk.,54
butiksbitr.,54
rormont,54
grovarbet.,54
tvattbitr,54
folkskollarare,54
sjukskot:a,54
ag.,53
sjokapt,53
komm.arb.,53
sjukvard,53
elektr.,53
bokb,53
folkskollararinna,53
platsl.,53
huseg.,53
manadskarlen,53
kvarnarb,53
revisor,52
maskinsnick,52
som,52
skofabr.arb.,52
tandskot,52
tradg.arb.,52
skof.arbet.,52
harfris,52
hemmansag.,52
lagenhetsagare,52
larov.adj,52
amanuens,51
f hush,51
verkmastaren,51
linjearb.,51
fotogr,51
tandlakare,51
sadelmakare,51
skepparen,51
polisman,51
sekreterare,51
koksbitr.,51
diversearbetare,51
glasblasare,51
cementarb,50
stationskarlen,50
bokb.arb,50
avd.ch,50
stenh.,50
posttjm,50
brevbarare,50
landtbrukare,50
smaskollararinna,50
