occstrng,n
mekanisk verkstadsarbetare f.d.,5
mejerieldare,5
murare husar f.d.,5
karelev,5
Åbo bagare,5
artillera 107,5
hemmansegare asoldata,5
uppblasare vid glasbruk,5
rote batsman,5
missionsprast,5
hofratts eaoa notarie,5
hemmansega skradda,5
sparvagnskondukta,5
bankbokhala,5
ugnsmurare,5
hemmansegarea fjerdingsman,5
jernfaarba,5
hemmansägare gruvfogde,5
soldat n:o 10,5
arrendator av lägenhet,5
stensågare,5
urmakareelev,5
kakelugnsmakagesall,5
artillera 82,5
väverifabrikör,5
trumsla,5
kontorsbitra va jernva a,5
murare fada dragon,5
hemmansega skoma,5
timmerman va meka werksta,5
lägenhetsägare valsare,5
portvaktsbetjent,5
drang vid slagteribolaget,5
prastgardsarrendator,5
sotaregesa,5
bksthj,5
stenarbetare hyr,5
artillera 72,5
kyrkoherdea kontraktsprost,5
jordarbetare artillerist fada,5
inhyses traskomakare,5
musikakademielev,5
jbrarba,5
dragon n:o 40,5
fargyllaregesall,5
portrattritare,5
arbetskrl,5
artillera 54,5
paragonvalsare,5
statistiker,5
arba va pappfabra,5
jordtopare,5
soldata jordtorpare,5
brukarea skomakare,5
lagenhetsagarea gratialist,5
husega enkla,5
järnvägspolis,5
lossare lastare,5
torvtagare,5
kronomålaregesäll,5
bodpojke,5
jordtorpa fada soldat,5
redogarare,5
sjakapten exa,5
stenarbetare artillerist fada,5
husegare skradda,5
svarfveriarbeta,5
Åbo trädgårdsmästare,5
skommakare,5
martinfarma,5
statdräng ladugårdsskötare,5
timmermärkare hemmansägare,5
gardsnickare,5
bomvaktare,5
hållningstagare,5
wagnsmakare,5
telefoninspektor,5
gasavlasare,5
artillera 57,5
hemmansagare landstingsman,5
faltjagare arrendator,5
dragon n:o 45,5
torpare gjutare,5
karbidförman,5
fa batsman arbetare,5
grosshandlare direktör,5
smed husma,5
skomakare utfattig,5
Ägare tegelarbetare,5
styrmana hemansega,5
distinktionskorpral torpare,5
exa jagmastare,5
chamottefabriksformare,5
domkyrkokamrer,5
hamnkarl,5
inhyseshjon skogsarbetare,5
fortifikationskapten,5
skradderi arba,5
insjöfiskare,5
postvaktbetjant reserv,5
polis ea,5
sama kanda,5
hemmansägare kommissionslantmätare,5
skottställare,5
kontorist i grosshandel,5
sergeant i armen,5
kopparslamasta,5
kontrollör 1:ste,5
sejlaremästare,5
tjänarinna,5
backstugusittare orgeltrampare,5
brandförsäkringsagent,5
wattenverksarba,5
gruvspelvakt,5
torpare kyrkvärd,5
husägare sockerbruksarbetare,5
svetsare,5
arbetare gardsegare,5
garfvaregesell,5
brukar,5
drang straffange,5
soldat och bonde,5
hemseg,5
husegare slagtare,5
knappmakare,5
kreatursskata,5
avsöndringsägare skräddare,5
instraaarba,5
fackskolelarare,5
uppsyningsman vid tändsticksfabrik,5
vattenledningsarbetare f.d.,5
angkvarnsarba,5
winhandla,5
sparbankstjänsteman,5
materialvaktmastare,5
kock 3 kl.,5
backstugsit,5
fabriksarbetarförman,5
kyrkoherdea,5
Åbo fjärdingsman,5
bryggare hemmansägare,5
torpare o smed,5
ringkarl arbetare,5
husar husegare,5
inha jordbraarbeta,5
tricotvävare,5
fjerdingsman hemmansega,5
pappershandlande,5
akare gardsegare,5
dragon n:o 12,5
jordbaarbet,5
snarmakaregesall,5
underlöjtnant i armén,5
jarnvagsstationsfarestandare,5
underläkare medicine licenciat,5
rattareelev,5
inhyses tunnbindare,5
velocipedfabriksarbetare,5
aaarba,5
averkontrollar,5
tomtägare arbetskarl,5
jordbruksarbetarelärling,5
lämpare,5
landtmaauska,5
dräng understödstagare,5
artillera 102,5
torpare oa fiskare,5
hemmansägare fanjunkare f.,5
flottningsarbetare skogsarbetare,5
privatsekreterare,5
livjägare,5
akademiskogvaktare,5
jordbruksarbetare gratialist,5
skeppa o hemmansega,5
timmerman vid meka werksta,5
soldat nao 78,5
stalrackare,5
dragon n:o 18,5
kolharpare,5
lokputsare e.,5
färgeridräng,5
godsägare brukspatron,5
spårvagnskonduktör f.,5
jagmastare ea oa,5
materialvaktmästare,5
artillera 46,5
artillerikapten,5
soldat n:o 38,5
lantbrukare agare,5
statdräng forare,5
arrendator gastgivare,5
vallgosse,5
kolvakt e.,5
artillera 53,5
lazarettssyssloman,5
stationskarl hyr,5
snickare fada soldat,5
tidningsfarsaljare,5
volontär jordbruksarbetare,5
konstsvarvare,5
tapetserarba,5
tomtega arb,5
fördelningsläkare,5
eaga brukare,5
jordbraarba fada soldat,5
bryggare husagare,5
godsaga,5
jordbruksarbetare artillerist fa da,5
stallfodrare,5
sulfatfabriksarbetare trämassefabriksarbetare,5
bleckslaga gesall,5
inhyses kopparslagare,5
smed dräng,5
artillera 56,5
husagare jarnvagsarbetare,5
portvakt skomakare,5
bleckslagarmästare f.d.,5
komma landtma,5
cigarrfabriksverkmästare,5
tändsticksarbetare f.d.,5
stata inspektor,5
torpare jordägare,5
skomakeriarbetare inneboende,5
torpare hemmansägare f.d.,5
tändsticksfabriksdirektör,5
fabrikör Ägare,5
grovarbetare gårdsägare i staden,5
länsman hemmansägare,5
fiskare hemmansegare,5
arrendta,5
lantbrukare inspektor f.d.,5
bokbindamasta,5
stuveriarbetare tillf.,5
jarnhandelsbokhallare,5
soldata brukare,5
underofficersvolontär,5
karsnarsarbeta,5
snarmaarba,5
nattvakt vid järnvägen,5
byggnaelev,5
komminister kyrkoherde utn.,5
handelskontorsbiträde,5
byggmastare hemmansegare,5
tomtega skomakare,5
bruksägare godsägare,5
arba vid lennartsfors tramassefabrik,5
skomakare och handlande,5
underträdgårdsmästare,5
bildhuggerielev,5
hemmansagare kommunalnamndsordfarande,5
verkstadsarb,5
buteljarbetare,5
gårdsägare lantbrukare f.d.,5
glasmastalarla,5
elektriker ingenjör,5
trädgårdsmästare arrendator,5
fil. lic. läroverksadjunkt,5
torpare kronobåtsman f.d.,5
kapiten,5
gipskonstnär,5
arba hyresga,5
brukare mjalnare,5
velocipedmontör,5
kassör vid järnväg,5
vallarmastare,5
jordbruksarbetare arbetskarl,5
angqvarnsarba,5
dagkara,5
lagenhetsinnehavare handlande,5
jordarbetare torpare,5
inhysesaarba,5
mjalnare snickare,5
brikettverksarbetare,5
torpare dödgrävare,5
jordarbetare dräng f.,5
gränsridare e.,5
gardsagare timmerman,5
kontraprost,5
kyrkoväktare jordbruksarbetare,5
hemmeg,5
sergeant vid i 4,5
fältman,5
stensättareförman,5
statdra rattare,5
Ägare lägenhetsägare,5
kattingskarare,5
wagnmakalarla,5
vavnadsfarlaggare,5
tändsticksfabriksverkmästare,5
lektor e. o.,5
cellulosaingeniör,5
hemmansagarea soldat fa da,5
timmerarbetare soldat f.d.,5
sockenbarn,5
sockerbruksarbetare soldat fa,5
fiskare bonde,5
exekutionsvaktmastare,5
inha dragon,5
sandagsskolemissionar,5
kagelresare,5
smedjeägare,5
husagare arrendator,5
bagargesall fada,5
mackinist,5
sparvakt,5
osthandla,5
afsandringegare,5
artillera 110,5
landtbra ingeniar,5
krigsskoleelev,5
baptapreda,5
haradshafda va,5
tradgardsanlaggare,5
skorstensarbetare,5
kogubbe,5
malarare,5
artillera 36,5
cigarrtillverkare,5
torpega o skoma,5
Ölbryggare,5
jur. kandidat notarie,5
torpare kronofjärdingsman,5
ea oa kronojagare,5
hästskötare f.,5
jordbruksarbetarea agare,5
asfaltarba,5
fabraarba vid pappafabra,5
lagenhetsagarea snickare,5
folkskolelararinna,5
torpegarea skomakare,5
trumslagare skomakare,5
vävlagare vid bomullsväveri,5
handla bitra,5
arbakarl fattighjon,5
inhysesa snickare,5
spritbolagsbokhållare,5
stalprovare,5
mejeriutkörare,5
slagteri arba,5
provinsialläkare e.o.,5
abo korporal,5
arbetare vid oljefabriken,5
tjänstepiga,5
träoljefabriksarbetare,5
gårdsfogde,5
husägare sågverksarbetare,5
murarearba,5
brukare kyrkovard,5
postexpeda eaoa,5
sågverksarbetare kolare,5
torpare masmästare,5
hemmansägare kyrkovaktare,5
smörjare vid sågverk,5
jordbruksarba oa husega,5
dragon n:o 24,5
dragon n:o 34,5
brevbarare extra,5
inhyseshjon skraddare,5
inhsa drang,5
statsminister,5
ingenjör lärare,5
jernarba vid meka werkstad,5
egaa handlande,5
arbetskarl hyr,5
jarnarbetare vid verkstad,5
arbetare vid ljusfabra,5
postexpedit 1:e,5
polis e.,5
skraddare kyrkovaktare,5
skomakare murare,5
fabrikskörkarl,5
husman slaktare,5
symaskinskontrollör,5
mossarbetare bostadslägenhetsägare,5
soldata hega,5
byggnadsdisponent,5
bruksskraddare,5
traddraga arbetare,5
dragon n:o 5,5
godsägare Överstelöjtnant,5
fyrare,5
gelbgjutare hemmansagare,5
snickerifabrarba,5
sliparemastare,5
krukomakare,5
attiksfabriksarbetare,5
skräddare torpare f.d.,5
arrendator av torpet,5
arrentator,5
civilingeniör,5
skeppsstufvare,5
hastskosmed,5
smed husega,5
inhyses sjökapten,5
slaktare charkuterihandlande,5
jordbruksarbetare båtsman f. d.,5
gruvspelmästare,5
student volontär,5
hemmansegare o skraddare,5
gjuteri arbeta,5
torguppköpare,5
ingenjör vid sockerbruk,5
stadens arbetare,5
urmakerielev,5
gelbgjalarla,5
timahandla,5
farpantningsagare skraddare,5
blekslagare,5
arbavid pappersbr,5
arrendator fjardingsman,5
packhuskarl exa,5
wagnlyftare,5
kronobåtbyggeriarbetare,5
komminister 1:ste,5
skollarare organist och klockare,5
brunnsmästare,5
farhyrningsagent,5
eldarefarman,5
gratialist kyrkoväktare,5
kaksdrang,5
tomtägare fiskare,5
atlet,5
eldare å båt,5
stadstradgardsmasta,5
snickeriarbetare Ägare,5
larare ea,5
garvare handlande,5
Ägare arrendator,5
farpantna,5
tandsticks arba,5
inhyses skomakeriarbetare,5
bagarlärling,5
artillera 98,5
arb vid bruksga,5
lagenha,5
fabriksdirektar,5
sparbakamrer,5
kronorepslageriarbetare,5
pianoarba,5
civa ingeniar,5
magasinsbitrade,5
jordgrävningsarbetare,5
lasa drang,5
torpare aftra,5
smältarsmed f.,5
bokhallare husagare,5
agare mjalnare,5
gelbgjaaarba,5
bonde predikant,5
sergeant bokhållare,5
mekaverkstaarba,5
tygagent,5
torpa o snickare,5
arba vid bomullsspinneriet,5
backsittare Änkling,5
jorbraarbetare,5
kvartmastare,5
torpagare a torpagerska,5
guldsmedgesall,5
snickare hyresgast,5
snickarmasta,5
jordbruksarbetare avskedad soldat,5
lokomotivförare husägare,5
landtbruksrattare,5
evangelist,5
jordbrukare enkling,5
hemmansagare batsman fa,5
musikkorpra,5
kontorsbiträde v. st. j.,5
gjutare husägare,5
jordbruksarbetare rättare,5
kallarmast,5
husagare drang,5
virkesjusterare,5
kvarnreparatör,5
brukare af torpet,5
bastugusittare,5
mureriförman,5
automatmontör,5
fabrikskontorschef,5
sulfitfabriksreparatör,5
husagarea smed,5
tåhakesmed,5
backstuguhjon målare,5
brukskontorist,5
soldat gruvarbetare,5
stalldrg,5
försäkringsbokhållare,5
fabriksverkmastare,5
reservunderlöjtnant styrman,5
kvarnagare mjalnare,5
hemmansegarea landthandlande,5
stationskontorsbiträde,5
folkskollararea klockare,5
kapsågare,5
jordägare skollärare,5
trädgårdskarl,5
kolbärare f.d.,5
arba marieberg,5
nomaddrang,5
kolarare,5
snickardrang,5
sömarbetare,5
husagare seglare,5
direktar godsagare,5
eldare vid vattenverk,5
målare båtsman f.d.,5
husman bagare,5
jordbruksarbetare gruvarbetare,5
reservlöjtnant arrendator,5
agare akare,5
snäckarbetare,5
stugagare grufarbetare,5
platslagaarb,5
vagnsmasta,5
tramassarbetare,5
brevdragare,5
trafikchef jarnvag,5
garvargesall,5
jordtorpare fjärdingsman,5
husman torpare,5
torpare byggnadssnickare,5
bageribokhållare,5
koma kapta af 2 gra,5
magasinsfarvaltare,5
tapetserararbeta,5
arbetare ajorda,5
sågaredräng,5
mekanisk hjälparbetare,5
skomakare fjerdingsman,5
slakteriägare,5
ornamentsstenhuggare,5
backstuguhjon inhyses,5
metallarbetareläling,5
soldat nao 60,5
smed lagenhetsegare,5
advokatbiträde,5
urmakare torpare,5
haagare,5
grosshandelsbokhållare,5
soldat nao 45,5
elev vid chalmers,5
avid lamavaa utarbetare o husegare,5
tjenstlas drang,5
vaddtillverkningsarbetare,5
tyfograf,5
affischör,5
foderkarl,5
hemaegare skraddare,5
förpantningsägare gratialist,5
torpare sågare,5
fastighaegare,5
hovpredikant,5
spinneriarbetare f.d.,5
wallhjon,5
sagverks arba,5
skolfarestanda,5
volontar vid blekinge bataljon,5
skomakaa hemaagare,5
soldat va korporal,5
splitvedkapare,5
artillera 66,5
fargarbetare,5
sågverksarbetare hemmansägare,5
hanskskraddare,5
hemmansagare tegelbruksarbetare,5
hemaegare handlande,5
riksbankkassör,5
kontraktsprost och kyrkoherde,5
soldatrekryt,5
tjänsteman vid livförsäkringsbolag,5
inneboende filare,5
maskinförare på pappersbruk,5
inadrang,5
ega och brukare,5
arba vid fritsla vafa fabra,5
sagverksarba vid falerums angsaga,5
pålningsarbetare,5
hemaega snickare,5
hyttskomakare,5
vintillverkningsarbetare,5
bläckslagare,5
husman tegelbruksarbetare,5
löjtnant vid i 4,5
garnbärare,5
polisvaktmästare,5
vagnmakeriidkare,5
kakelugnsmakerimästare,5
underfaktor,5
bstehjon,5
grovarbetare korpral,5
kronojagare hemmansagare,5
sterbhusnotarie,5
hemmansägare sjöman f.,5
murarea hemmansegare,5
hemmansägare kyrkovakt,5
faktoriförman,5
arrendatora fa soldat,5
vagnsputsare exa,5
klockare orgelnist skollarare,5
Ångmaskinseldare,5
torpare artillerist f.,5
trycksvarfvare,5
soldat n:o 13,5
fjällstuguåbo,5
snickarea gardsegare,5
plåtslagerimästare f.d.,5
valsverksarba pa hofors,5
artillera 41,5
fabramastare,5
hemmansägare skomakare f.d.,5
byggnadsarbetare soldat f.,5
målare handlande,5
byggnadskonstruktör,5
grofsnickare,5
skollärare ex.,5
arba vid oljefabriken,5
lansmaskinist,5
arba inhysa,5
kontra prost,5
soldat nao 47,5
ringkarl dadgravare,5
agenturaffär,5
hammansega,5
mek arba,5
artillera 99,5
ingenjör kemist,5
hemsag,5
vagnsmedmästare,5
lotsen,5
damvakt,5
skomakare torpare f.d.,5
livmedikus,5
lokomotiveldae,5
bokhal,5
skomakare dragon f.,5
soldata korporal,5
hemmansägare stationskarl,5
fa batsmana hemmansegare,5
grundläggsarbetare,5
dynamitfabriksarba,5
landtarbetare,5
järnverksingeniör,5
gördelmakare f.d.,5
husagare lokomotivfarare,5
farmansdrang,5
arba vid vulcans tandstafabra,5
artillera 65,5
qvarnfaresta,5
stationsarbetsförman,5
sparbankskassar,5
handelsboddräng,5
handelsbokh,5
lokomotivfarae,5
jordbruksarba fada artillerist,5
kreatursskötare statdräng,5
hemmansägare livgrenadier,5
pappers arbetare,5
tullfiskal,5
dagsverkstorpare snickare,5
musikvicekorpral,5
predikant hemmansagare,5
vagnskarl stallkarl,5
medicakanda,5
abon nybyggare,5
arrendetorpa,5
postexpeditor,5
arba vid bruksga,5
statkarl smed,5
sparvakonduktar,5
hemmansegaa murare,5
hantlangare vid järnvägen,5
afvermaskinist,5
snickararbeta,5
kaffehandlande,5
skraddare o hemmansegare,5
fjärdingsman snickare,5
milkontrollör,5
fiskare sjöman f.,5
Ångbåtsbesättningskarl,5
haradskrifva,5
dar,5
qvarnarrendata,5
byggmästarelärling,5
träslöjdare,5
arbetarea skomakare,5
pastors adjunkt,5
kolspetsarbetare,5
vagnkarl stallkarl vid statens järnv.,5
bronsarbetare,5
skjutbanebiträde,5
hemmaarra,5
hemmansegaa fada soldat,5
grastensmurare,5
likvaktare,5
stadsläkare 1:sta,5
husägare styrman,5
aaa,5
skomaa hemmansega,5
jordtorpare målare,5
arbetare vid linnefabrik,5
inhysa jordbruksarba,5
arba pa bobinfabra,5
hyresgäst Åkare,5
gjutrensare,5
extra vaktkonsta,5
tidnaredaktar,5
brukare mjölnare,5
tullöverkontrollör,5
fil. kand. amanuens,5
torpare enkla,5
statdra kusk,5
bandskarare,5
dragon n:o 11,5
apoteksbitrade,5
likvagnskarl,5
hemmansägare landstingsman f.d.,5
lokomotivstallkarl,5
gasverkskassör,5
husmana arbetare,5
tunnba gesa,5
ea oa telegrafassista,5
kronolots hemmansega,5
tullkammarskrivare e.o.,5
lappadrang,5
sockerbruksarbetareförman,5
gasverkskamrer,5
bryggeriutkarare,5
jordtorpa skomakare,5
artillera 92,5
sparvagnskonda,5
skofabriksarbetare f.d.,5
i handel,5
ega och handlande,5
hemmansägare trumslagare,5
sterbhusdelega,5
tulljaktuppsyningsman,5
apoteka,5
magasinförvaltare i staden,5
gratialist fadoradstagare,5
träarbetareförman,5
hemmansagare urmakare,5
banvaktare soldat f.d.,5
stationsskarlsfarman,5
snickare fiskare,5
expressbyråföreståndare,5
skradderiarbet,5
husega skomaka,5
tradgardmastare,5
smed vid skavde meka verkstad,5
soldat husega,5
kammarråd,5
domkyrkovaktmästare,5
amanuens e. o.,5
bokbinderifabriksverkmästare,5
timmerman husegare,5
kyrkodrang,5
Änkling smedsgesäll,5
hafa smed,5
skoma idka,5
utpensionerad,5
dagsverksarbetar,5
fargeriidkare,5
stenhuggerifarma,5
soldat n:o 50,5
statskommissionär,5
regissar,5
tvättinrättningsinnehavare,5
stavsagare,5
abondea faltjagarea,5
Ägare järnhandlare,5
murerihandtlanga,5
agare timmerman,5
artillera 34,5
vafveriarba,5
organist o folkskollarare,5
maskinist vid valsverk,5
wagnmakagesall,5
bokbindaregsa,5
legohjon,5
gymnastelev,5
backstugahja,5
arbetare arrendator f.,5
mjölnarbiträde,5
kyrkdrang,5
disponent ingeniar,5
angslupsbefalhafvare,5
kanslivaktare,5
jordega smed,5
butiksdräng,5
krutbruksarbae,5
backstuguhjon soldat,5
utvandrareagent,5
instrumentmakargesall,5
folkskolelarare ma ma,5
delegare,5
tingshusvaktmastare,5
klädesagent,5
badhusföreståndare,5
vagnskarl vid järnvägen,5
bagaarb,5
hemmansägare hästjägare,5
ladugaka,5
låsfabrikör,5
bierutkarare,5
jorda arb,5
laboratoriebitrade,5
bokhållare inneboende,5
skräddare förpantningsägare,5
tackjärnsrensare,5
tapetseraarbeta,5
maskinistarbetare,5
automobiltvättare,5
glasmastare fargyllare,5
hasthanda,5
torpare och malare,5
sillpackare,5
sjakapten ankling,5
tapetsalarling,5
nybyggare fiskare,5
lastare husägare,5
skogsarbetra,5
hemmansägare korpral v.,5
prästbordstorpare,5
pressförgyllare,5
skomakare soldat fada,5
gratialista fadoradstagare,5
sjukvårdsdistinktionskorpral,5
artillera 59,5
snickare a torpare,5
kolaredrang,5
konditorigesäll,5
virkesbokhållare,5
dagdrivare,5
torpare båtsman f. d.,5
husman fattig,5
notarie ea oa,5
tygstatsarbetare,5
egaa handla,5
dragon n:o 41,5
soldat bruksarbetare,5
maskinist vid kloratfabrik,5
fjerdabruka,5
skraddare hemaegare,5
väveriidkare,5
waktkarl,5
sagaarbetare,5
stadstjänare extra,5
gardsegare slagtare,5
dräng rekryt,5
laboratoriedräng,5
timmer arbetare,5
afverdirektar,5
bomullsvävare,5
gravörelev,5
banarbetare e.,5
ja eg,5
hemmansegare och dragon,5
hemmansegare och malare,5
måleriverkmästare,5
hemmansegare vagnmakare,5
takpappersarbetare,5
länsmaskinist,5
smidesbokhållare,5
tunnplatarba,5
backst sittare,5
sjökapten husägare,5
vedkapare,5
kusk statdrang,5
husbonde sjöman f.d.,5
distakorporal,5
diversearba,5
maskinverkmästare,5
farpantningstagare,5
hyrande smed,5
leksakshandlare,5
landskapsmala,5
sergeanta hemmansagare,5
snickare fjärdingsman,5
fiskarea husega,5
hyrkuskarbetare,5
Åbo timmerman,5
bradgardarba,5
hovslagare smed,5
spiksmedmästare,5
regementsauditar,5
hyrande urmakare,5
walkare,5
ornamentsskärare,5
hemmansega o namndeman,5
byggnafarman,5
medicine licenciat underläkare,5
blockmakeriarbetare,5
arrendator af soldatstommen,5
farvalta,5
bruks arba,5
tryckmästare,5
artillera 80,5
smidesmasta,5
husagarea handlande,5
inhyses bagare,5
arbetarea torpare,5
badmasta,5
jorbra arba,5
korperal,5
montörsbiträde,5
grustagsarbetare,5
winfabriksarbetare,5
vagnmakarelarla,5
fada 1aste konstapel,5
statardrang soldat fa da,5
poliskonstapel v.,5
fiskare snickare,5
fotogenköksarbetare,5
snickerifabrikseldare,5
pinnstolfabriksarbetare,5
urlakningsarbetare f.d.,5
dranga fattighjon,5
verkmästare vid yllefabrik,5
dagvatorpare,5
gartner,5
farkantare,5
renlapp,5
vagnsynare,5
hälftenägare,5
gasverksverkmästare,5
upsattare,5
arbetare gårdsägare på landet,5
arba farman,5
dragon n:o 25,5
ea oa postexpeda,5
vagsopare,5
plåtslagare vid m. v.,5
jordbruksarbetare husar fa da,5
beredningsförman,5
kreatursfodrare,5
tolk,5
masterrackare,5
jordbrukare Änkling,5
hemmansegare arrendator,5
avsandringsbrukare,5
korpral Åbo,5
jordbruksarbetare statdräng f.d.,5
verkmastare vavnad,5
dragon n:o 33,5
tapetsera,5
statdräng soldat,5
artillera 50,5
timmermaarba,5
backstugusittare ankling,5
abo skradda,5
hemmansega korpral,5
haagaa travaruhandla,5
skogsaarbetare,5
snickareelev,5
medicinalråd,5
trapappersmassefabriksarba,5
verkstadseldare,5
hemmansega fada namndeman,5
hemmansägare möbelsnickare,5
artillera 25,5
lantränterivaktmästare,5
Ångbåtsmaskineldare,5
Åkare lägenhetsägare,5
manufaktahandla,5
husägare målarmästare,5
torpare rotebåtsman,5
handelskassar,5
maskinist 2:e,5
dräng jordarbetare,5
artillera 89,5
datorpa,5
skomakarea husegare,5
besiktningsrustmästare,5
vagnmakare torpare,5
undantagsman smed,5
lokomotiveld,5
la grufarbetare,5
jordbrarbet,5
landsvägarbetare,5
emballerare,5
hemmansagare skeppsredare,5
Åkarekusk,5
hemmansägare fjärdingsman f.d.,5
uppbördsskrivare,5
vedbärare gatsopare,5
handlande o hemmansega,5
elektricitetsarbetare f.d.,5
skogsarbetan,5
torpare kusk,5
järnarbetare filare,5
svarvställare,5
arrendator fältjägare f.d.,5
sjakapa,5
handlande ankling,5
byggsnickare,5
förste postiljon,5
skomakaregsa,5
bokbindgesa,5
stataskarl,5
stenhafarman,5
lokomota farare,5
smed jordtorpa,5
lanstradgamasta,5
artillera 44,5
slussvakta,5
fada batsman jordbruksarba,5
brandstationskarl,5
korpral lägenhetsägare,5
snickerifabriksmaskinist,5
mekanikerfabriksarbetare,5
prickhallare,5
ea oa jagmastare,5
lagman,5
kolningsarbeta,5
lutkokare,5
byasmed,5
drang vid bruket,5
ingenjör vid pappersbruk,5
stenhuggare arbetare,5
uppbördskommissionär,5
husdrivare,5
hemmansegare fa namndeman,5
folkskolelarare hemmansegare,5
jordarbetare arrendator,5
arba vid kallinge jernverks aktiebolag,5
soldata snickare,5
farpaaga,5
hyresgast resehandlare,5
gastgifare,5
livgrenadier jordbruksarbetare,5
släggsmed,5
hemmansega skeppare,5
fabraidka,5
landthandl,5
tegelbruksmastare,5
cafaidka,5
husman skeppare,5
avid lamavaa filare,5
strykare,5
skyffelfabra arba,5
arbeta vid al cemafabrik,5
vintappare,5
danslarare,5
skomlarlinga,5
sapsjudare,5
dragon dräng,5
lantbruksmaskinist,5
träarbetare husägare,5
husma snickare,5
guldsmedgesa,5
vagnsskötare,5
rotmasta,5
slottssnickare,5
kopral,5
hemmansagare 3a64,5
hemmansega garfvare,5
ladugardkarl,4
artillera 95,4
kontorsvakt extra,4
kronolänsman t. f.,4
exekutionsförvaltare,4
inhys arb,4
kaptan,4
snickarea gardseg,4
hovnotarie e. o.,4
maskinist förste,4
mössarbetare,4
hantverksunderofficer korpral,4
inneboende jarnarbetare,4
tidningsreferent,4
barba bitrade,4
tjärstrykare,4
polererare,4
snickare drang,4
landskanslivaktmastare,4
jordarrendator jordbrukare,4
arbetare vid jernvag,4
hmnsbrukarea,4
sergeant vid centralfangelset,4
sundhetskonstapel,4
kanslivaktmasta,4
skomaka hemmansegare,4
fabriksarba smed,4
hemmansega landthandla,4
drang fada soldat,4
skomakare och jordtorpare,4
telefonbiträde,4
kontorsvakta,4
jordbruksa a skogsarbetare,4
lantbrukare riksdagsman,4
skomaa hemmaaga,4
sotmalare,4
asjakaptena husegare,4
polisordonnans,4
hemmansegare stenarbetare,4
eger stallet,4
las arb,4
skinnredare,4
murare sotare,4
kronomatare,4
barbaelev,4
sergeanta hemmansegare,4
torpare trämassefabriksarbetare,4
ea oa postexpedit,4
tryckalarla,4
bruksaarba,4
backstuba,4
sågverksbokförare,4
fiskara,4
hyresgast ankling,4
dagkarl jordbruksarbetare,4
kringgaende handla,4
kolarbetare f. d.,4
fa da batsmana stenhuggare,4
hmsegarea skomakare,4
sag arb,4
kyrkoherde kontraprost,4
kyrkoherda,4
eaoa hofra nota,4
grenadier jordtorpare,4
las arbet,4
grönsaksmånglare,4
abo byggmastare,4
segelmakaremästare,4
hemmansägare Åkare,4
koma landtma,4
klackjärnssmed,4
kodrg,4
hemmansagare fargare,4
arb va spinnerifabra,4
arbetskarl Ägare,4
landthushallare,4
angtraskare,4
soldat nao 14,4
husagare dragon,4
slöjdare smed,4
Ägare gratialist,4
skinnvaruhandlare,4
torpare gardfarihandlare,4
Åkare Ägare,4
tradgardsmastardrang,4
gardinvavare,4
fabriksförman å sulfitfabrik,4
postvaktmastare ea,4
skomakare fada batsman,4
pumpmakeriarbetare,4
bstsa arbetare,4
lägenhetsägare järnvägsarbetare,4
smed lägenhetsinnehavare,4
1 konstapel 6ate batta,4
skogsarbetare torpare f.d.,4
regementsmusikant,4
kontorsbitrade vid jarnvag,4
belysningsarbetare,4
adjunkt vik.,4
hemmansägare tillträdande,4
korpral dragon f.d.,4
arba vid bobinfabr,4
Ägare häradshövding,4
domkyrkopastor,4
brädgårdsfaktor f.d.,4
snickare egen,4
brofogde,4
dragon n:o 46,4
bonde sågverksarbetare,4
slakterarbetare,4
sjukvårdare volontär,4
husaga smed,4
eaoa kronojagare,4
torpa fda solda,4
torpare artill fa,4
pråmarbetare,4
guldsmalarla,4
rördragn. fabriksarbetare,4
byggnadskarl,4
lykttandarefarman,4
pappersfabriksförman,4
hastskata,4
angsagsarbeta,4
skomakarea hyresgast,4
hyttinspektor,4
jordtorpare kyrkvaktare,4
fiskare och hemmansegare,4
ihs fiskare,4
formskarare,4
stenkarlstillverkare,4
hospitalsläkare bitr.,4
riddarhuskamrer,4
parkhuskarl,4
sjukvårdskorpral f.d.,4
kanalbokhållare,4
kallarma,4
vagnsprovare,4
lajtnant vid bleka batalion,4
Änkling hemmansbrukare,4
averuppsyningsman,4
damskräddarmästare,4
råvaruarbetare,4
skraddarea jordtorpare,4
bagerihantlangare,4
lyktskötare,4
banvak,4
husagare sagare,4
skräddare livgrenadier f.d.,4
skogsarbetare volontär f.,4
fil. doktor godsägare,4
arrendator grenadier,4
jutefabriksarbetare f.d.,4
snickeriarbetare fattighjon,4
hyr järnvägsarbetare,4
landtbrabokha,4
handbitra,4
husägare tunnbindare,4
sågsorterare,4
packmastare extra,4
byråskrivare,4
traskverksbygga,4
Åbo garvare,4
hjelpdrang,4
skraddare fattig,4
järnarbetare smed,4
arrendator hemmansbrukare,4
hemmansegare landthandlande,4
soldat träarbetare,4
ryktare jordbruksarbetare,4
guldsmedsmastare,4
förrådsförvaltare vid regemente,4
stenkarlshandla,4
backstuahjon,4
sågare husägare,4
hemmansägare källarmästare f.d.,4
skofabrikant,4
walsv arba agardegaa,4
kommissiona,4
skomakare drang,4
trikåstickare,4
stadsläkare 2:dre,4
arrendatora skomakare,4
garnutlämnare,4
skomakare torpa,4
skomakare och husegare,4
hemmansegare och murare,4
arba vid stensliperiet,4
