occstrng,n
färgeriarbetare,1257
stenhuggeriarbetare,1240
arbetshjon,1234
konduktör,1233
snickeriarba,1230
banktjänsteman,1220
backsta,1217
glasblasare,1216
daglönare,1212
a,1210
kassar,1208
jordtorpa,1199
snickarelärling,1193
ladufogde,1188
tullvaktmästare,1184
torpegare,1183
fältjägare,1178
malaregesall,1176
kyrkvakt,1175
lifgrenadier,1174
inhyses arbetare,1174
arrenda,1169
muraregesäll,1164
befallningsman,1161
garvaregesäll,1145
klampare,1141
jernarbetare,1134
hemaagare,1126
hema ega,1126
fabriksarba,1121
handelsbokhallare,1121
textilarbetare,1120
smältare,1118
kontorsskrivare,1107
montör,1102
timmerhuggare,1101
kolarbetare,1098
provisor,1093
hema egare,1091
elektricitetsmontör,1090
kakelarbetare,1087
lasdrifvare,1086
springgosse,1085
bitrade,1084
lantbrukselev,1083
guldsmed,1079
heg,1079
lokomotivfarare,1078
konduktar,1076
smaltare,1074
kamrer,1073
järnverksarbetare,1068
repslagare,1065
bagaregesall,1064
backstuguman,1045
kalkarbetare,1045
gårdfarihandlare,1034
hemmaegare,1019
kördräng,1009
slipare,1007
bodkarl,1005
lös arbetare,1003
skomakarelärling,999
modellsnickare,996
tradgardsmasta,994
hemansegare,991
lagerbiträde,989
handelsbitra,988
bildhuggare,981
klockare,980
tegelslagare,979
underlöjtnant,978
traarbetare,977
skeppsgosse,974
skoma,972
kronolots,969
backstugubo,964
snickaregesall,960
kyrkovaktare,956
gårdsman,956
hemmansag,950
fargare,942
skraddaregesall,939
utarba,938
snickaarba,937
hemaaga,937
sadelmakeriarbetare,933
bleckslageriarbetare,932
anställd vid flottan,930
landtbrukare,929
godsegare,927
resehandlare,922
trädgårdsdräng,921
fargeriarbetare,915
spinnare,915
hemmansbruka,914
husbonde,914
gårdsägare i staden,910
bankkamrer,904
jordbraarbeta,904
skattetorpare,902
elektriker,900
jordega,897
tradgardselev,896
jordarrendator,896
brandsoldat,891
kustroddare,889
skrivare,879
hammarsmed,875
glasslipare,874
husega,873
distinktionskorpral,870
trämassefabriksarbetare,869
lagenhetsega,869
gesall,868
slajdare,867
jernvagsarba,864
jarnsvarvare,864
lös dräng,863
läroverksadjunkt,850
skomakaregesall,842
kronotorpare,840
kronolänsman,839
brevbärare,837
sagverksarbeta,836
magasinarbetare,836
murarehantlangare,827
kvarnägare,824
jordarbeta,823
Ångbåtsmaskinist,822
skraddaarba,818
farpantningsagare,818
orgeltrampare,815
varvsarbetare,814
yllefabriksarbetare,813
vävare,812
hyresgast,809
postexpeditör,809
bokhalla,808
fabrikar,807
färgare,804
gårdskarl,803
alutkarare,796
stenha,794
Ölutkörare,788
bokhandlare,786
gardman,782
sjöman 3 kl.,780
jernvagsarbetare,778
fiska,769
stenhugga,768
tradgardsarbetare,766
spårvagnskonduktör,766
mjölnaredräng,763
hemmaaga,762
urmakeriarbetare,762
skorstensfejare,761
torpagare,760
smedgesall,758
kronolansman,758
boktryckare,757
lektor,755
slöjdare,754
betjänt,754
kontorschef,751
godsagare,750
timmerkarl,749
pontonier,749
biträde,745
farman,744
hovslagare,744
underlajtnant,741
farvaltare,738
sjöman 2 kl.,736
hyttarba,735
avsöndringsägare,732
lots,729
arkitekt,729
skräddarelärling,727
major,725
handskmakare,725
bergsma,722
tradgardsdrang,722
banmästare,719
smedsdräng,718
kopparslageriarbetare,717
lanthandlare,717
möbelsnickare,716
konditor,716
sjöman 1 kl.,716
inhysesdräng,711
porslinsarbetare,706
postvaktmästare,704
polis,703
kronobåtsman,703
statare,700
las arbetare,699
skradderiarba,698
civilingenjör,698
droskkusk,698
arbakarl,697
backstahjon,696
svarfvare,692
artist,685
korporal,684
pitpropsarbetare,684
dra,682
borstbindare,679
kapitalist,677
porslinsfabriksarbetare,675
torp,674
platslageriarbetare,674
instrumentmakare,674
förman,674
fördräng,672
skradda,669
gjuteriarba,668
hälftenbrukare,668
tullvaktmastare,667
glasarbetare,667
konstförvandt,666
kontorselev,666
skomaarba,665
fjärdingsman,663
kyrkvaktare,661
elev,659
medicine kandidat,657
magasinkarl,655
banmastare,655
köpman,654
postexpeditar,651
tryckeriarbetare,651
chaufför,648
hyresgäst,646
mekanisk verkstadsarbetare,645
maleriarba,641
trumslagare,640
h egare,639
tunnbinderiarbetare,638
bryggeriarba,637
arbetsförman,635
tapetseriarbetare,627
bradgardsarba,624
bagerilärling,623
dagsverkare,621
hegare,620
lagerarbetare,619
sagvaarba,618
småskolelärare,617
stationsmästare,614
boktryckeriarbetare,613
kalkbruksarbetare,613
hemmansbra,613
underofficer,612
arbetsfarman,612
kronojägare,611
hemeg,610
vavare,610
dranga,607
backstuguhja,604
springpojke,602
halftenbrukare,601
las drang,601
vice korpral,600
backstugusa,597
possessionat,597
stenarba,597
stallkarl,596
maskinarba,596
Åkaredräng,595
2 kla sjaman,590
förvaltare,588
jordbruksarb,588
källarmästare,587
smedlarling,587
sjaman 3a cla,586
handelsarbetare,585
fabrikör,584
diversehandlare,579
fodermarsk,578
bokförare,577
tobaksarbetare,575
gårdsdräng,574
lantbruksbiträde,572
smedslarling,571
lumpsamlare,570
ladugårdsdräng,569
skeppstimmerman,569
sockerbagare,568
hemmaega,567
handelselev,567
hattmakare,565
musiker,559
lagerbokhållare,559
pappersarbetare,558
järnhandlare,556
stationsföreståndare,549
fardrang,547
amanuens,546
nomad,544
teknolog,544
direktör,544
gardskarl,542
hantlangare,541
skattebonde,541
vedhuggare,541
ladugårdsförman,539
gardsdrang,537
rusthållare,537
1 kla sjaman,532
tillfällig arbetare,531
masugnsarbetare,530
gelbgjutare,529
handelsfarestandare,528
tråddrageriarbetare,527
pumpare,526
stentryckare,525
smedsgesall,525
spinneriarbetare,523
grosshandla,522
banvaktare extra,521
tradgardsma,520
kronoarbetskarl,520
backstugusitta,519
barberarebiträde,516
organist,515
rusthallare,511
boddräng,511
skogsarbeta,510
3 kla sjaman,509
kakelugnsmakeriarbetare,509
valsare,508
smedarbetare,507
verkstadsarba,506
textilfabriksarbetare,506
sagvaarbetare,504
mekaniker,503
kyrkoväktare,502
handelsbetjänt,499
litograf,499
jarnbruksarbetare,499
glasmästare,498
bageriarba,497
intäktsägare,497
putsare,497
jungman,496
filhuggare,496
grofarba,496
bokfarare,495
utkörare,490
lägenhetsinnehavare,489
snickarelarling,488
agronom,488
kammarskrivare,487
kolhuggare,486
handa,486
kronojagare,486
rararbetare,485
karkarl,483
stationskarlsförman,482
fyrvaktare,481
stationskarl extra,479
eg,476
grundläggare,475
akeriarbetare,475
hemmansägare handlande,474
bodbitrade,474
ladugardsdrang,473
skoarba,472
styckjunkare,470
poliskonsta,469
Ångbåtsbefälhavare,469
hemmansegarea,468
stationskarl e.,467
spiksmed,467
fjällapp,466
prokurist,465
sagarba,464
vedgårdsarbetare,463
akaredrang,461
kolvakt,459
farpantningsegare,458
spårvagnsförare,457
sockerfabriksarbetare,452
stabbläggare,449
volontär armén,448
vedhandlare,448
banvaktare e.,446
fjellapp,446
bankbokhållare,446
musiksergeant,445
postbetjänt,445
guldsmedsarbetare,444
murmästare,441
garvaregesall,440
cellulosafabriksarbetare,440
sotare,439
direktar,438
mureriarba,437
jordbra arbetare,435
rörläggare,434
brevbarare,430
arbetsdräng,430
hemabrukare,428
mjalnaredrang,428
stationsmastare,428
bgma,427
gipsarbetare,427
haaga,426
jordbruksdräng,426
hemsegre,425
stationsförman,424
plåtslagarelärling,422
gästgivare,422
skomakarelarling,418
torpare skomakare,417
skohandlare,414
handlande hemmansägare,414
h eg,413
grufarbeta,412
sjukskötare,411
medicine licenciat,410
kontrollassistent,409
trävaruhandlare,408
skrifvare,407
smarjare,407
handelsidkare,406
garfvaregesall,406
bagarmästare,405
vagnsputsare,403
kvarnagare,403
vagnmakeriarbetare,402
betjent,402
inhyses arbetskarl,402
glasmastare,401
torghandlare,401
virkeshandlare,398
redaktör,398
tandläkare,398
rekryt,397
gårdsrättare,397
lagenhetsaga,396
smidesaarba,396
telegrafassistent,395
timmergesäll,394
sjukvakt,392
extra banvakt,392
kronofogde,391
martins-arbetare,390
martinsarbetare,390
smörjare,390
qvarnegare,389
smeddrang,389
brödutkörare,389
väveriarbetare,388
träskomakare,387
förpantare,387
brefbarare,387
hästskötare,387
ha ega,386
kallarmastare,386
stensattare,385
tandlakare,385
bergsprängare,384
stationsfarestandare,383
malarelarling,383
stensättare,383
gårdssmed,383
lantbruksarrendator,382
lantarbetare,382
bodbiträde,381
vaktmasta,381
kapten armén och flottan,381
fabra arba,381
hasega,380
skådespelare,379
fabriksidkare,379
gasarbetare,378
statdräng f.,378
nomad lapp,377
hemaeg,377
varvstimmerman,376
jarnvagsanstalld,375
eldare vid kungliga flottan,374
charkuterihandlande,374
tegelmästare,373
betjant,373
hjälpsmed,373
träsliperiarbetare,372
kvarnarrendator,372
reparatör,372
hmnsega,372
kustvakt,371
bruka,371
stabblaggare,369
valsverksarba,369
cigarrhandlare,369
buntmakare,368
tradgamasta,368
repslageriarbetare,368
packmastare,368
konditoriarbetare,367
hamnarba,366
notarie,366
hotellvaktmästare,366
jord torpare,365
järnbruksarbetare,365
revisor,365
husägare arbetare,364
redaktar,364
hemaag,363
specerihandlare,362
hemas ega,360
gardfarihandlare,360
bankvaktmästare,360
arrendata,359
torpega,359
bankkassör,359
sadelmakaregesäll,358
vävlagare,357
kanalarbetare,356
banarbetare,356
grufarbae,355
haegae,355
körare,354
guldarbetare,354
kopparslagaregesäll,353
gardsrattare,353
hemmansåbo,353
jordbruks arbetare,352
litteratar,351
underofficerkorpral,350
hemansega,348
fjardingsman,346
fabraarbetare,345
packhuskarl,345
bankdirektör,345
bruksbokhållare,345
drg,343
skomakeriarba,343
torpare snickare,343
byggnadsingenjör,342
postmästare,341
jernsvarfvare,340
postmastare,338
braarba,338
jordagare amindrea,337
hyvlare,336
advokat,335
boddrang,334
rotebåtsman,334
vedsågare,334
smedshantlangare,333
lös,333
jordbraarb,333
hemmansägare skomakare,332
hemmansägare snickare,332
traskomakare,332
sappör,331
utkarare,331
stationskarlsfarman,331
jägmästare,331
kronobatsman,329
korkskarare,328
bokbindaregesäll,328
uppassare,328
stationsskrifvare,328
baptistpredikant,328
hemaga,327
tegelfabriksarbetare,326
kommissionär,325
grundlaggare,325
timmerarba,324
packmästare,324
sagstallare,324
sparvagnskusk,324
gardegare,323
transportarbetare,322
glasbruksarbetare,322
jordtorp,322
handelsbokha,322
tegelmastare,321
lasdrivare,320
rektor,318
traddragare,317
sulfatfabriksarbetare,316
hyvleriarbetare,316
slussvaktare,314
faktoriarbetare,313
bruksägare,312
handelsexpedit,312
kantor,311
valsarba,310
pastorsadjunkt,309
ringare,309
stadsfiskal,309
stadrang,308
skraddarelarling,308
bankbokhallare,307
ladugårdsskötare,307
backsa,306
lykttändare,306
bruksbonde,306
bokbindarelärling,305
smedmastare,304
civilingenjar,304
brukstorpare,304
renhallningsarbetare,302
snicka,302
brukspatron,300
bruksarbeta,298
mjölkutkörare,297
hemas egare,296
bryggmastare,296
kommissionar,296
tillskärare,295
livförsäkringsagent,295
sågställare,295
kakelugnsmakaregesäll,295
kamrerare,295
fjerdingsman,294
jagmastare,294
faktoriarba,293
kakelugnsmaka,293
bryggmästare,292
jordbruksbiträde,292
sappar,292
utjordsägare,291
journalist,290
tjansteman,290
tjänare,288
montar,288
fabra arbetare,288
cigarrarba,286
vedgardsarbetare,286
hemnsega,286
smärglare,285
smältsmed,285
gardsega,285
kreatursskötare,284
ringkarl,283
tapetserarelärling,283
rörfabriksarbetare,283
hemsega,282
apotekselev,282
underofficer af 2:a gr.,281
inkasserare,281
lantbruksinspektor,281
fabriksbokhållare,280
jarnvagsarba,280
tjänsteman,280
järnvägstjänsteman,279
verktygsarbetare,279
vagnslyftare,279
borstbinderiarbetare,278
arbetare backstugusittare,278
vice corpl.,277
hemmansegar,277
hmaga,277
hemmansägare soldat,276
musikant,274
småbrukare,274
fargyllare,274
arbetare inhyses,274
hmsegare,274
rådman,273
lumphandlare,273
backstuga,272
farpantare,272
byggmasta,272
slakteribiträde,271
inhysesdrang,271
typografelev,270
smedsarba,270
banktjansteman,270
fargeriarba,270
veterinar,270
handabitra,269
bodbetjänt,269
kolningsarbetare,269
hemmansägare smed,268
telegrafist,268
garfveriarba,268
hastskatare,268
korkskärare,267
smedsdrang,267
formare,266
malaarba,266
smaskolelarare,266
jordbruksrättare,265
gastgifvare,264
hemmansägare skräddare,264
martinarbetare,264
smaskollarare,264
tunnbindaregesäll,263
litteratör,263
svarveriarbetare,263
pressare,263
laroverksadjunkt,263
bokhandelsbiträde,261
vagnsmörjare,261
fattiggårdsföreståndare,260
torpare smed,260
malargesall,259
Ångbåtsförare,259
mjalnardrang,259
egbra,259
skomakaarba,259
dragare,258
hema,258
arra,257
arendator,257
förrådsarbetare,257
jordbrasarba,256
metallarba,256
skomakargesall,255
vaarba,255
sockerbageriarbetare,254
vattenledningsarbetare,254
utan uppgivet yrke,254
postexpedit,253
bryggaarba,253
kontorsbitra,253
bleckslagaregesäll,253
tapetseraregesäll,252
hemasegare,251
flaggunderofficer,251
hjelpsmed,251
resehandlande,251
pråmskeppare,251
möbelhandlare,250
kronoåbo,249
snickare hemmansägare,249
husagare arbetare,249
skrivbiträde,249
soldat hemmansägare,248
malarmastare,248
tändsticksarbetare,248
självägare,247
lantbrevbärare,247
timmergesall,247
piga,246
strandsittare,246
jägare,246
koherde,246
bageriidkare,245
glasmästeriarbetare,245
kalkbrännare,245
skraddagesa,245
porslinsarba,245
bsta,245
gravör,245
kreaturshandlare,245
tjänstehjon,244
båtbyggare,244
Ägare brukare,244
hema eg,244
hsega,244
husma,244
soldat torpare,244
häradshövding,243
skogselev,243
smaltsmed,241
justerare,241
färgaregesäll,241
skomagesa,240
mekanikus,240
officersvolontär,240
vedsagare,239
smedarba,239
ha ag,239
gruvfogde,239
byggnadssnickeriarbetare,238
telefonreparatör,238
wagnmakare,238
smides arba,237
lagenhetsinnehavare,236
slajdlarare,236
bruksförvaltare,234
sömfabriksarbetare,234
kock,233
machinist,233
inspektör,232
gardfarihandla,232
bankkassar,232
tomtägare,231
läderhandlare,231
krononybyggare,230
kronohemmansåbo,230
häradshövding v.,230
karare,230
järnvägsbokhållare,230
kronovarvsarbetare,230
lykttandare,229
provinsialläkare,229
hemegare,229
tulluppsyningsman,229
sadelmakarelärling,229
sjaman 1a cla,229
korrenspondent,229
straffange,228
rosthyttarbetare,228
tjanstedrang,228
sekreterare,227
konstfarvandt,227
skomakare torpare,227
lastare,226
pastor,226
kyrkvaktmästare,226
radman,226
perukmakare,225
va korporal,225
meda kanda,225
traddrageriarbetare,225
lärare,224
typograflärling,224
bildhuggeriarbetare,224
sorterare,224
mabelsnickare,224
polisöverkonstapel,224
skomakare hemmansägare,223
korgmakeriarbetare,223
vinhandlare,223
positivspelare,223
utearba,223
hmsaegae,222
platsförsäljare,222
silverarbetare,221
dgka,221
skogsfaktor,221
gummifabriksarbetare,221
intagtsegare,221
brovaktare,220
Övermaskinist,220
kontorsvakt,220
tillsyningsman,220
barberarebitrade,220
stathjon,220
hema aga,219
arbka,219
trang soldat,219
häradsskrivare,218
kontorsvaktmästare,218
skraddarmastare,217
slaktardräng,217
bagerilarling,217
graarba,216
Ägare hemmansägare,216
platslaga,216
backstasittare,216
kronoarrendator,215
vafvare,215
larare,215
skadespelare,215
korgarbetare,215
tramassefabriksarbetare,214
hemansagare,214
repslagaregesäll,213
inhyses skomakare,213
solda,213
musikdirektör,213
mallesven,213
torpbrukare,212
valsmästare,212
tomtegare,212
kakelarba,212
bankdirektar,212
jordbruksarbet,211
plåtslagerimästare,211
ruggare,211
rarlaggare,211
jernarbeta,210
snickare torpare,210
hemmansabo,210
hemma egare,209
tågmästare,209
lantbrukslärling,209
vaskeriarbetare,208
kopparslaga,208
livförsäkringsinspektör,208
fralsningssoldat,208
gardssmed,208
förrådsförvaltare,207
extra stationskarl,207
bokha,207
hmnsegare,207
lappman,207
farpantningsega,207
orgelnist,206
manufakturhandlare,206
veterinär,206
hemmansegr,206
snickeriarbeta,206
spannmålshandlande,205
farestandare,205
salteriidkare,205
gardsman,204
tjadrang,204
maskinskötare,204
förgyllare,204
sågverksmaskinist,204
gårdssnickare,204
jordbruksarbetare soldat f.d.,204
sjaman 2a cla,204
?,203
skofabra arba,203
stolfabriksarbetare,202
kronotimmerman,202
hovslageriarbetare,202
alutkararebitrade,202
smaltarsmed,202
litografiarbetare,201
kättingsmed,201
arbetare fattighjon,201
dagka,201
bergsprangare,200
sadelmaka,199
hofslagare,199
boktryckerilärling,199
jordbra arbeta,199
hovrattsnotarie eaoa,199
meka arba,198
jarnhandlare,198
järnvägskonduktör,198
rättarelärling,198
gravar,198
föreståndare,198
civilingeniar,197
hemmansegra,197
konstapel,196
telegrafkommissarie,196
krukmakare,196
trävaruarbetare,196
backsta hjon,196
margarinfabriksarbetare,196
utjordsagare,195
sjukgymnast,195
valsvaarba,195
tomtagare,195
cementfabriksarbetare,194
torpare skräddare,194
vallare,193
lagenhaega,193
dagsverkstorpa,193
malmlastare,193
bruksfarvaltare,193
stuvare,193
expressbud,192
byggnadshantlangare,192
ha egare,191
kronofjärdingsman,191
handlande hemmansagare,191
frälsebonde,191
torpare soldat,191
slöjdlärare,191
metallsvarvare,191
urmakarelärling,191
hemmansegara,190
spel i nummer,190
faltmusikant,190
gjutmästare,189
waktmastare,189
kaféidkare,189
plåtslagaregesäll,189
kolportar,189
landskanslist,187
cigarrmakare,187
skabonde,187
maltare,187
batbyggare,187
timmerdrifningsarbetare,187
hemmansägare Änkling,187
fabriksarbeta,186
torparea,186
backstahja,186
backstugehjon,186
soldat hemmansagare,185
säteriägare,185
utlastare,185
barnhusbarn,185
muraregesall,185
stenhuggeriförman,185
lokaeldare,185
hem,185
hemmansägare brukare,185
jarnarba,184
brandkarl,184
husägare gruvarbetare,184
schaktmästare,184
handelskontorist,184
guldsmedsgesäll,184
valsmastare,183
jagare,183
rotebatsman,183
masmastare,183
restauratar,182
stålverksarbetare,182
mejerielev,182
tullvaktmasta,182
tjenstedrang,182
pensionstagare,182
underofficerskorpral,182
skogsinspektor,181
tråddragare,181
landtbrukselev,181
hustimmerman,181
vinhandelsarbetare,181
mejeriarbetare,181
angbatsbefalhavare,181
sadelmakaremästare,180
lantbruksbokhållare,180
timmerma,180
vagnsmarjare,180
abonde,180
bobinfabriksarbetare,179
stensprangare,179
sågverksägare,179
vagnkarl,179
trumpetare,179
boktryckerifaktor,178
skomagesall,178
manufaktursmed,178
backsitta,178
lotslarling,178
hyrande,178
Överstelöjtnant,177
masmästare,177
portier,177
angbatseldare,177
bagaarba,177
brädgårdsförman,177
hotellvard,176
kalkbrannare,176
vällare,176
pastor vice,176
murarelärling,176
jordbrukstorpa,176
tryckerilärling,176
gastandare,175
handelsbokhalla,175
hemmansagare handlande,175
kardrang,175
restauratör,174
segelsömmare,174
metallgjutare,174
straffånge,173
fyrmastare,173
gummiarbetare,173
vagnfabriksarbetare,173
hemmegare,173
lotslärling,173
vagnmakaregesäll,173
bryggeridräng,172
bradgardsarbeta,172
metalltryckare,172
manufakturarbetare,172
privatlarare,172
stenhuggare inhyses,171
markar,171
bomullsfabriksarbetare,171
fyrmästare,171
korpral vice,171
polisuppsyningsman,170
gårdsägare på landet,170
arbetare husägare,170
juvelerare,170
båtskeppare,170
konsul,170
statarhjon,170
skogstorpare,169
slaktarmästare,169
underofficer af 2 gra,169
egendomsägare,169
bysmed,169
underofficer korpral,169
musikvolontär,169
va korpral,169
tradgamastare,168
hemabruka,168
gränsridare,168
banvakt extra,168
vavlagare,168
martinarba,167
inhyses dräng,167
orgelbyggare,167
hemegarea,167
mjölnardräng,167
garverifabrikör,167
landskontorist,167
borgmästare,167
hattmakeriarbetare,167
polerare,167
backstusittare,167
jordaarba,166
maskinsnickare,166
järnhandelsbiträde,166
arbetskarl husägare,166
smed hemmansägare,165
hakare,165
ryttmästare,165
bergsingenjör,165
polisman,165
fyrbiträde,165
va pastor,165
hyresgast arbetare,165
hyrkusk,165
symaskinsagent,165
guldsmedslärling,165
musikdirektar,164
bruksegare,164
batskeppare,164
kontraktsprost,164
kopparslagarelärling,164
hems eg,164
malaregesa,164
kemist,164
hema agare,163
spårvägsarbetare,163
arbae,163
hökare,163
kontorsskrifvare,163
stationska,163
skräddare hemmansägare,162
kontrollör,162
stufvare,162
verkstadsförman,162
jernvaarba,162
poststationsföreståndare,162
syssloman,162
skeppsklarerare,161
mejerimaskinist,161
patient,161
maskinförare,161
mästerlots,161
tandtekniker,161
kakelmakare,160
torpae,160
gardelmakare,160
taktäckare,160
handelsfaresta,160
markör,160
masterlots,160
fargaregesall,160
